date,Kwartał,flat_price,gold,ounce,usd,flat_price_usd,flat_price_gold,salary,salaries_m2
2017-09-30,III 2017,7788.43238116164,151.35,4691.849999999999,3.65,2133.8170907292165,1.659991768952895,4473.06,1.7411866554800604
2017-12-31,IV 2017,8019.7561015507645,145.48,4509.88,3.48,2304.527615388151,1.7782637457206765,4973.7,1.6124326158696272
2018-03-31,I 2018,8201.149282184693,145.56,4512.36,3.41,2405.029115010174,1.8174855911728438,4886.56,1.6783072922842843
2018-06-30,II 2018,8610.518284355505,151.72,4703.32,3.74,2302.2776161378356,1.830731968982656,4848.16,1.7760383907205013
2018-09-30,III 2018,8887.606896110692,139.32,4318.92,3.68,2415.1105695952965,2.057830868853948,4771.86,1.8625036979523064
2018-12-31,IV 2018,9019.622870956551,154.41,4786.71,3.76,2398.835869935253,1.8843052683276302,5274.95,1.709897320535086
2019-03-31,I 2019,9426.992836606769,159.07,4931.17,3.84,2454.9460511996795,1.9117152393056351,5164.53,1.8253341226804316
2019-06-30,II 2019,9590.522282274089,168.75,5231.25,3.73,2571.1855984649033,1.8333136979257518,5104.5,1.8788367680035436
2019-09-30,III 2019,9934.552237174323,192.34,5962.54,4.0,2483.6380592935807,1.6661611053635401,5084.56,1.9538666545727303
2019-12-31,IV 2019,10280.101563193337,185.19,5740.89,3.8,2705.289885050878,1.790680811371292,5604.25,1.83434028874396
2020-03-31,I 2020,10610.407612206469,212.97,6602.07,4.15,2556.724725832884,1.6071334615062352,5489.21,1.9329571308451432
2020-06-30,II 2020,10717.441583668564,225.88,7002.28,3.98,2692.8245185096894,1.530564556639918,5286,2.027514488019025
2020-09-30,III 2020,10735.279079007682,237.6,7365.599999999999,3.87,2773.973922224207,1.4574887421265996,5371.56,1.9985402897868927
2020-12-31,IV 2020,10750.495941012143,223.95,6942.45,3.76,2859.174452396847,1.5485161493438402,5973.75,1.7996226726950648
2021-03-31,I 2021,10969.46677296771,214.42,6647.0199999999995,3.97,2763.0898672462745,1.6502834011282816,5929.05,1.8501221566638346
2021-06-30,II 2021,11361.83159043011,213.99,6633.6900000000005,3.8,2989.9556816921345,1.712746840812596,5802.42,1.9581194726390214
2021-09-30,III 2021,11405.54647046021,221.64,6870.839999999999,3.99,2858.532949990027,1.6599930242095886,5841.16,1.9526166840936063
2021-12-31,IV 2021,11819.776105922901,235.9,7312.900000000001,4.06,2911.2749029366755,1.6162912259053044,6644.39,1.778910645811414
2022-03-31,I 2022,12517.311572903438,259.22,8035.820000000001,4.18,2994.572146627617,1.557689392358644,6665.64,1.8778859303687925
2022-06-30,II 2022,12895.018423307707,260.25,8067.75,4.48,2878.3523266311845,1.5983413496089625,6554.87,1.967242435518585
2022-09-30,III 2022,12911.995748131705,267.74,8299.94,4.95,2608.4839895215564,1.5556733841608137,6687.81,1.9306762225798437
2022-12-31,IV 2022,13009.170955826294,257.02,7967.619999999999,4.4,2956.6297626877936,1.6327549451186547,7329.96,1.7747942629736442
2023-03-31,I 2023,13301.620715745077,272.03,8432.929999999998,4.29,3100.610889451067,1.5773427166767755,7508.34,1.7715794324371401
